dataid,local_15min,air1,air2,air3,airwindowunit1,aquarium1,bathroom1,bathroom2,bedroom1,bedroom2,bedroom3,bedroom4,bedroom5,battery1,car1,car2,circpump1,clotheswasher1,clotheswasher_dryg1,diningroom1,diningroom2,dishwasher1,disposal1,drye1,dryg1,freezer1,furnace1,furnace2,garage1,garage2,grid,heater1,heater2,heater3,housefan1,icemaker1,jacuzzi1,kitchen1,kitchen2,kitchenapp1,kitchenapp2,lights_plugs1,lights_plugs2,lights_plugs3,lights_plugs4,lights_plugs5,lights_plugs6,livingroom1,livingroom2,microwave1,office1,outsidelights_plugs1,outsidelights_plugs2,oven1,oven2,pool1,pool2,poollight1,poolpump1,pump1,range1,refrigerator1,refrigerator2,security1,sewerpump1,shed1,solar,solar2,sprinkler1,sumppump1,utilityroom1,venthood1,waterheater1,waterheater2,wellpump1,winecooler1,leg1v,leg2v
142,2019-06-24 14:15:00-05,,,,,,,,,,,,,,,,,,0.0,,,0.001,,,,0.08,,,,,-2.905,0.009,,,,,,,,0.004,0.001,0.263,0.018,,,,,,,,,,,0.001,,,,,,,,0.02,,,,,3.354,,,,,,,,,,123.302,123.213
142,2019-06-24 14:00:00-05,,,,,,,,,,,,,,,,,,0.001,,,0.001,,,,0.072,,,,,-1.706,0.009,,,,,,,,0.004,0.001,0.266,0.017,,,,,,,,,,,0.0,,,,,,,,0.001,,,,,2.135,,,,,,,,,,123.165,123.056
914,2019-06-24 14:45:00-05,,,,,,,,,,,,,,,,,0.002,,,,,,0.001,,,,,0.001,,-3.311,,,,,,,,,,,,,,,,,,,,,,,0.003,,,,,,,0.0,,,,,,3.831,,,,,,,,,,124.799,124.509
914,2019-06-24 14:30:00-05,,,,,,,,,,,,,,,,,0.002,,,,,,0.001,,,,,0.001,,-2.354,,,,,,,,,,,,,,,,,,,,,,,0.003,,,,,,,0.0,,,,,,2.971,,,,,,,,,,124.955,124.558
914,2019-06-24 14:15:00-05,,,,,,,,,,,,,,,,,0.002,,,,,,0.001,,,,,0.001,,-2.126,,,,,,,,,,,,,,,,,,,,,,,0.003,,,,,,,0.0,,,,,,2.582,,,,,,,,,,124.696,124.36
914,2019-06-24 14:00:00-05,,,,,,,,,,,,,,,,,0.002,,,,,,0.001,,,,,0.001,,-2.418,,,,,,,,,,,,,,,,,,,,,,,0.003,,,,,,,0.0,,,,,,2.783,,,,,,,,,,124.562,124.324
27,2019-06-24 14:45:00-05,0.008,0.047,,,,,,,,,,,,3.38,,,,0.001,,,,,,,0.227,,,0.001,,-0.699,,,,,,,,,0.113,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,4.565,,,,,,0.001,,0.0,,117.677,117.731
27,2019-06-24 14:30:00-05,0.051,0.006,,,,,,,,,,,,3.377,,,,0.001,,,,,,,0.397,,,0.001,,-1.007,,,,,,,,,0.016,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,4.966,,,,,,0.001,,0.0,,117.551,117.894
27,2019-06-24 14:15:00-05,0.003,0.006,,,,,,,,,,,,3.375,,,,0.001,,,,,,,0.346,,,0.001,,0.35,,,,,,,,,0.016,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,3.577,,,,,,0.001,,0.0,,117.538,117.862
27,2019-06-24 14:00:00-05,0.009,0.006,,,,,,,,,,,,3.376,,,,0.001,,,,,,,0.396,,,0.001,,-0.463,,,,,,,,,0.016,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,4.457,,,,,,0.001,,0.0,,117.813,118.184
2096,2019-06-24 14:45:00-05,,,,,,,,,,,,,,,,,,,,,0.002,,,,,0.005,,,,0.291,,,,,,,,,0.001,0.0,0.118,0.009,0.138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,123.264,123.274
2096,2019-06-24 14:30:00-05,,,,,,,,,,,,,,,,,,,,,0.002,,,,,0.005,,,,0.198,,,,,,,,,0.003,0.0,0.023,0.009,0.138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,123.322,123.547
2096,2019-06-24 14:15:00-05,,,,,,,,,,,,,,,,,,,,,0.002,,,,,0.005,,,,0.566,,,,,,,,,0.067,-0.001,0.33,0.009,0.138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,,,,123.365,123.146
2096,2019-06-24 14:00:00-05,,,,,,,,,,,,,,,,,,,,,0.002,,,,,0.005,,,,0.365,,,,,,,,,0.016,-0.001,0.177,0.009,0.138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,,,,123.251,123.302
3488,2019-06-24 15:45:00-05,0.0,,,,,0.0,,,,,,,,,,,0.0,,,,,,0.0,,,0.231,,,,0.589,,,,,,,,,0.001,0.005,,,,,,,,,,,,,,,,,,,,,0.052,,,,,0.712,,,,,0.324,0.526,,,,121.169,121.457
3488,2019-06-24 15:30:00-05,0.0,,,,,0.0,,,,,,,,,,,0.0,,,,,,-0.001,,,0.23,,,,0.565,,,,,,,,,0.001,0.006,,,,,,,,,,,,,,,,,,,,,0.085,,,,,0.796,,,,,0.455,0.516,,,,121.185,121.401
3488,2019-06-24 15:15:00-05,0.0,,,,,0.0,,,,,,,,,,,0.0,,,,,,-0.001,,,0.228,,,,0.406,,,,,,,,,0.001,0.006,,,,,,,,,,,,,,,,,,,,,0.047,,,,,0.996,,,,,0.451,0.504,,,,120.859,121.18
3488,2019-06-24 15:00:00-05,0.0,,,,,0.0,,,,,,,,,,,0.0,,,,,,-0.001,,,0.228,,,,0.649,,,,,,,,,0.001,0.006,,,,,,,,,,,,,,,,,,,,,0.005,,,,,0.668,,,,,0.518,0.491,,,,120.784,120.863
9053,2019-06-24 15:45:00-05,,,,,,,,,,,,,,0.004,,0.0,0.0,,,,0.0,,0.0,,,,,,,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003,0.104,,,,,,,,,,,0.001,,0.0,,118.891,118.876
9053,2019-06-24 15:30:00-05,,,,,,,,,,,,,,0.004,,0.0,0.0,,,,0.0,,0.0,,,,,,,0.348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003,0.11,,,,,,,,,,,0.001,,0.0,,118.485,118.479
9053,2019-06-24 15:15:00-05,,,,,,,,,,,,,,0.071,,0.0,0.0,,,,0.0,,0.0,,,,,,,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003,0.115,,,,,,,,,,,0.001,,0.0,,118.918,118.861
9053,2019-06-24 15:00:00-05,,,,,,,,,,,,,,0.081,,0.0,0.0,,,,0.0,,0.0,,,,,,,0.474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003,0.116,,,,,,,,,,,0.001,,-0.001,,119.847,119.743
142,2019-06-24 15:45:00-05,,,,,,,,,,,,,,,,,,0.001,,,0.0,,,,0.042,,,,,-0.719,0.009,,,,,,,,0.004,0.001,0.26,0.017,,,,,,,,,,,0.0,,,,,,,,0.06,,,,,1.172,,,,,,,,,,122.786,122.698
142,2019-06-24 15:30:00-05,,,,,,,,,,,,,,,,,,0.001,,,0.0,,,,0.078,,,,,-0.794,0.009,,,,,,,,0.004,0.001,0.259,0.017,,,,,,,,,,,0.0,,,,,,,,0.102,,,,,1.324,,,,,,,,,,122.813,122.781
142,2019-06-24 15:15:00-05,,,,,,,,,,,,,,,,,,0.001,,,0.001,,,,0.112,,,,,-1.04,0.009,,,,,,,,0.004,0.001,0.231,0.017,,,,,,,,,,,0.0,,,,,,,,0.001,,,,,1.474,,,,,,,,,,122.737,122.683
142,2019-06-24 15:00:00-05,,,,,,,,,,,,,,,,,,0.0,,,0.001,,,,0.094,,,,,-1.898,0.009,,,,,,,,0.004,0.001,0.23,0.017,,,,,,,,,,,0.0,,,,,,,,0.001,,,,,2.314,,,,,,,,,,122.796,122.716
5997,2019-06-29 14:45:00-05,,,,,,0.001,,,,,,,,,,,0.001,,,,-0.001,,0.0,,,,,0.096,,-5.025,,,,,,,,,0.109,,0.01,,,,,,,,0.001,,,,,,,,,,,,,,,,,5.605,,,,0.307,,-0.001,,,,122.184,123.126
5997,2019-06-29 14:30:00-05,,,,,,0.001,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,0.092,,-2.515,,,,,,,,,0.076,,0.011,,,,,,,,0.001,,,,,,,,,,,,,,,,,3.063,,,,0.304,,0.0,,,,121.812,122.779
5997,2019-06-29 14:15:00-05,,,,,,0.001,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,0.087,,-1.009,,,,,,,,,0.002,,0.011,,,,,,,,0.002,,,,,,,,,,,,,,,,,1.457,,,,0.278,,0.0,,,,121.649,122.402
5997,2019-06-29 14:00:00-05,,,,,,0.001,,,,,,,,,,,0.001,,,,-0.001,,0.0,,,,,0.1,,-3.861,,,,,,,,,0.03,,0.01,,,,,,,,0.001,,,,,,,,,,,,,,,,,4.292,,,,0.208,,-0.001,,,,122.407,123.063
2096,2019-06-24 15:45:00-05,,,,,,,,,,,,,,,,,,,,,0.002,,,,,0.005,,,,0.278,,,,,,,,,0.04,0.0,0.069,0.009,0.138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,123.005,123.145
2096,2019-06-24 15:30:00-05,,,,,,,,,,,,,,,,,,,,,0.002,,,,,0.005,,,,0.254,,,,,,,,,0.001,0.0,0.082,0.009,0.138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,122.978,123.125
2096,2019-06-24 15:15:00-05,,,,,,,,,,,,,,,,,,,,,0.002,,,,,0.005,,,,0.301,,,,,,,,,0.031,0.0,0.1,0.009,0.138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,122.998,122.998
2096,2019-06-24 15:00:00-05,,,,,,,,,,,,,,,,,,,,,0.002,,,,,0.005,,,,0.332,,,,,,,,,0.058,0.0,0.106,0.009,0.138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,122.979,123.037
1417,2019-06-24 15:45:00-05,0.0,,,,,,,,,,,,,,,,0.0,,,,0.0,,0.0,,0.01,0.017,,,,0.148,,,,,,,,,0.007,,0.008,,,,,,,,,,,,,,,,,,,,0.002,,,,,,,,,,,,,,,122.012,121.468
1417,2019-06-24 15:30:00-05,0.0,,,,,,,,,,,,,,,,0.0,,,,0.0,,0.0,,0.01,0.017,,,,0.213,,,,,,,,,0.007,,0.008,,,,,,,,,,,,,,,,,,,,0.068,,,,,,,,,,,,,,,122.009,121.365
1417,2019-06-24 15:15:00-05,0.0,,,,,,,,,,,,,,,,0.0,,,,0.0,,0.0,,0.057,0.017,,,,0.199,,,,,,,,,0.007,,0.008,,,,,,,,,,,,,,,,,,,,0.007,,,,,,,,,,,,,,,121.725,121.206
1417,2019-06-24 15:00:00-05,0.0,,,,,,,,,,,,,,,,0.0,,,,0.0,,0.0,,0.134,0.017,,,,0.28,,,,,,,,,0.007,,0.019,,,,,,,,,,,,,,,,,,,,0.001,,,,,,,,,,,,,,,121.735,121.318
1222,2019-06-24 15:45:00-05,,,,,,,,,,,,,,0.001,,,,,,,,,0.0,,,,,0.093,,-1.608,0.024,,,,,,,,0.074,,,,,,,,,,,,,,,,,,,,,-0.001,,,,,,1.842,,,,,,0.002,,0.001,,124.399,124.249
1222,2019-06-24 15:30:00-05,,,,,,,,,,,,,,0.001,,,,,,,,,0.0,,,,,0.011,,-2.498,0.024,,,,,,,,0.001,,,,,,,,,,,,,,,,,,,,,-0.001,,,,,,2.591,,,,,,0.002,,0.002,,124.844,124.71
1222,2019-06-24 15:15:00-05,,,,,,,,,,,,,,0.001,,,,,,,,,0.0,,,,,0.058,,-1.302,0.024,,,,,,,,0.001,,,,,,,,,,,,,,,,,,,,,-0.001,,,,,,1.441,,,,,,0.002,,0.001,,124.268,124.077
1222,2019-06-24 15:00:00-05,,,,,,,,,,,,,,0.001,,,,,,,,,0.0,,,,,0.088,,-1.904,0.025,,,,,,,,0.001,,,,,,,,,,,,,,,,,,,,,-0.001,,,,,,2.066,,,,,,0.002,,0.002,,124.722,124.524
5058,2019-06-24 15:45:00-05,0.009,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002,,-1.245,,,,-0.001,,0.042,,,,,,,,,,,,,,0.03,,,-0.002,,,,,,,0.0,-0.001,,,,,1.479,,,,,,,,,,121.547,121.575
5058,2019-06-24 15:30:00-05,0.009,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002,,-1.14,,,,-0.001,,0.042,,,,,,,,,,,,,,0.03,,,-0.002,,,,,,,0.0,-0.001,,,,,1.349,,,,,,,,,,121.466,121.427
5058,2019-06-24 15:15:00-05,0.009,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002,,-1.174,,,,-0.001,,0.042,,,,,,,,,,,,,,0.03,,,-0.002,,,,,,,0.0,0.04,,,,,1.552,,,,,,,,,,121.441,121.357
5058,2019-06-24 15:00:00-05,0.009,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002,,-0.361,,,,-0.001,,0.041,,,,,,,,,,,,,,0.03,,,-0.001,,,,,,,0.0,0.099,,,,,1.177,,,,,,,,,,121.617,121.411
3517,2019-06-24 15:45:00-05,0.0,,,,,,,,,,,,,,,,,0.008,,,,,,,0.015,0.006,,0.019,,-0.613,,,,,,,,,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,0.828,,,,,,,,,,121.167,120.882
3517,2019-06-24 15:30:00-05,0.0,,,,,,,,,,,,,,,,,0.007,,,,,,,0.061,0.006,,0.016,,-0.457,,,,,,,,,0.138,,,,,,,,,,,,,,,,,,,,,,,,,,,0.892,,,,,,,,,,120.957,120.721
3517,2019-06-24 15:15:00-05,0.0,,,,,,,,,,,,,,,,,0.008,,,,,,,0.063,0.007,,0.016,,-0.838,,,,,,,,,0.086,,,,,,,,,,,,,,,,,,,,,,,,,,,1.175,,,,,,,,,,121.107,120.603
3517,2019-06-24 15:00:00-05,0.0,,,,,,,,,,,,,,,,,0.008,,,,,,,0.014,0.006,,0.016,,-0.53,,,,,,,,,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,0.794,,,,,,,,,,121.137,120.714
5679,2019-06-24 15:45:00-05,1.084,,,,,,,0.005,,,,,,6.833,,,,,,,,,,,,0.058,,0.006,,7.567,,,,,,,,,0.19,0.203,,,,,,,,,,,,,,,,,,,,,,,,,,1.191,,,,,,,,,,118.046,118.222
5679,2019-06-24 15:30:00-05,1.019,,,,,,,0.005,,,,,,6.841,,,,,,,,,,,,0.052,,0.006,,7.642,,,,,,,,,0.376,0.302,,,,,,,,,,,,,,,,,,,,,,,,,,1.335,,,,,,,,,,117.769,118.404
5679,2019-06-24 15:15:00-05,0.963,,,,,,,0.004,,,,,,6.19,,,,,,,,,,,,0.047,,0.006,,6.579,,,,,,,,,0.404,0.151,,,,,,,,,,,,,,,,,,,,,,,,,,1.526,,,,,,,,,,118.025,118.781
5679,2019-06-24 15:00:00-05,1.067,,,,,,,0.0,,,,,,0.002,,,,,,,,,,,,0.065,,0.005,,0.23,,,,,,,,,0.194,0.007,,,,,,,,,,,,,,,,,,,,,,,,,,1.318,,,,,,,,,,120.563,120.975
3996,2019-06-24 15:45:00-05,,,,,,,,,,,,,,,,,0.0,,,,0.0,,0.0,,,0.006,,,,0.649,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.535,,0.028,,,,,,,,,,0.001,0.0,,0.019,,119.956,119.756
3996,2019-06-24 15:30:00-05,,,,,,,,,,,,,,,,,0.0,,,,0.0,,0.0,,,0.006,,,,0.398,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.248,,0.06,,,,,,,,,,0.001,0.0,,0.019,,120.169,120.054
3996,2019-06-24 15:15:00-05,,,,,,,,,,,,,,,,,0.0,,,,0.0,,0.0,,,0.006,,,,0.537,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.426,,0.023,,,,,,,,,,0.001,0.0,,0.019,,120.197,120.023
3996,2019-06-24 15:00:00-05,,,,,,,,,,,,,,,,,0.0,,,,0.0,,0.0,,,0.006,,,,0.522,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.366,,0.067,,,,,,,,,,0.001,0.0,,0.019,,120.321,120.159
5982,2019-06-24 15:45:00-05,,,,,,,,0.009,,,,,,,,0.332,0.001,,,,0.0,,0.0,,,,,,,1.983,0.0,,,,,,,,0.001,0.0,,,,,,,,,,,,,,,,,,,0.006,,0.057,,,,,,,,,,,,,0.207,,120.622,120.373
5982,2019-06-24 15:30:00-05,,,,,,,,0.009,,,,,,,,0.224,0.017,,,,0.0,,0.0,,,,,,,1.333,0.001,,,,,,,,0.001,-0.001,,,,,,,,,,,,,,,,,,,0.006,,0.131,,,,,,,,,,,,,0.0,,120.532,121.356
5982,2019-06-24 15:15:00-05,,,,,,,,0.009,,,,,,,,0.223,0.039,,,,0.0,,0.0,,,,,,,1.433,0.001,,,,,,,,0.001,-0.001,,,,,,,,,,,,,,,,,,,0.006,,0.142,,,,,,,,,,,,,0.0,,120.282,121.174
5982,2019-06-24 15:00:00-05,,,,,,,,0.009,,,,,,,,0.224,0.039,,,,0.0,,0.0,,,,,,,1.317,0.001,,,,,,,,0.001,-0.001,,,,,,,,,,,,,,,,,,,0.006,,0.123,,,,,,,,,,,,,0.0,,120.704,121.15
9053,2019-06-29 14:45:00-05,,,,,,,,,,,,,,0.079,,0.0,0.0,,,,0.0,,0.0,,,,,,,0.805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003,0.116,,,,,,,,,,,0.001,,-0.001,,117.456,117.039
9053,2019-06-29 14:30:00-05,,,,,,,,,,,,,,0.081,,0.0,0.0,,,,0.0,,0.0,,,,,,,1.179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002,0.148,,,,,,,,,,,0.344,,-0.001,,117.309,116.917
9053,2019-06-29 14:15:00-05,,,,,,,,,,,,,,0.083,,0.0,0.0,,,,0.0,,0.0,,,,,,,1.344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002,0.113,,,,,,,,,,,0.493,,-0.002,,117.397,116.92
9053,2019-06-29 14:00:00-05,,,,,,,,,,,,,,0.087,,0.0,0.0,,,,0.0,,0.0,,,,,,,1.345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002,0.116,,,,,,,,,,,0.487,,-0.002,,117.572,117.095
2318,2019-06-29 14:45:00-05,,,,,,0.001,,,,,,,,,,,0.0,,,,,,0.0,,,0.008,,,,1.497,0.205,0.499,0.05,,,,,,,,,,,,,,0.008,,,,,,,,,,,,,-0.001,,,,,,,,,,,,0.004,,0.0,,121.013,121.114
2318,2019-06-29 14:30:00-05,,,,,,0.001,,,,,,,,,,,0.0,,,,,,0.067,,,0.009,,,,1.369,0.223,0.188,0.042,,,,,,,,,,,,,,0.008,,,,,,,,,,,,,-0.001,,,,,,,,,,,,0.003,,0.0,,120.871,120.748
2318,2019-06-29 14:15:00-05,,,,,,0.001,,,,,,,,,,,0.0,,,,,,0.256,,,0.009,,,,1.311,0.321,0.004,0.041,,,,,,,,,,,,,,0.008,,,,,,,,,,,,,-0.003,,,,,,,,,,,,0.005,,0.001,,121.778,120.762
27,2019-06-24 15:45:00-05,0.003,0.02,,,,,,,,,,,,0.003,,,,0.001,,,,,,,0.209,,,0.029,,-4.753,,,,,,,,,0.016,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,5.155,,,,,,0.001,,0.0,,117.625,117.777
27,2019-06-24 15:30:00-05,0.007,0.047,,,,,,,,,,,,0.003,,,,0.001,,,,,,,0.21,,,0.001,,-5.038,,,,,,,,,0.052,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,5.45,,,,,,0.001,,0.0,,118.68,118.855
27,2019-06-24 15:15:00-05,0.052,0.006,,,,,,,,,,,,0.311,,,,0.001,,,,,,,0.213,,,0.001,,-3.044,,,,,,,,,0.136,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,3.912,,,,,,0.001,,0.0,,117.632,117.712
27,2019-06-24 15:00:00-05,0.003,0.02,,,,,,,,,,,,2.775,,,,0.001,,,,,,,0.211,,,0.001,,-0.45,,,,,,,,,0.141,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,3.686,,,,,,0.001,,0.0,,117.128,117.164
3000,2019-06-24 15:15:00-05,0.006,,,,,,,0.002,,,,,,0.002,,,0.001,,,,0.0,,0.0,,0.11,,,,,-1.647,0.018,,,,,,,,0.003,0.004,,,,,,,0.014,,,,,,,,,,,,0.02,,,,,,,1.044,0.894,,,,,,,,,122.819,123.204
3000,2019-06-24 15:00:00-05,0.006,,,,,,,0.003,,,,,,0.002,,,0.001,,,,0.0,,0.0,,0.058,,,,,-1.122,0.018,,,,,,,,0.003,0.004,,,,,,,0.014,,,,,,,,,,,,0.019,,,,,,,0.727,0.63,,,,,,,,,122.83,123.052
3000,2019-06-24 15:45:00-05,0.067,,,,,,,0.003,,,,,,0.002,,,0.143,,,,0.0,,0.001,,0.016,,,,,-0.71,0.018,,,,,,,,0.003,0.193,,,,,,,0.014,,,,,,,,,,,,0.069,,,,,,,0.734,0.613,,,,,,,,,122.67,123.106
3000,2019-06-24 15:30:00-05,0.058,,,,,,,0.003,,,,,,0.053,,,0.02,,,,0.0,,0.0,,0.066,,,,,-1.066,0.018,,,,,,,,0.003,0.004,,,,,,,0.014,,,,,,,,,,,,0.043,,,,,,,0.791,0.68,,,,,,,,,122.771,123.109
950,2019-06-24 15:45:00-05,0.0,0.0,,,,,,,,,,,,,,,0.001,,,,,,-0.003,,,0.096,0.097,,,-2.657,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,-0.002,0.003,0.139,,,0.0,,7.182,,,,,,3.92,,,,121.718,121.834
950,2019-06-24 15:30:00-05,1.643,-0.001,,,,,,,,,,,,,,,0.001,,,,,,-0.004,,,0.169,0.097,,,-5.29,,,,,,,,,,,,,,,,,,,,,,,-0.002,,,,,,-0.001,0.004,0.142,,,0.0,,7.567,,,,,,-0.009,,,,121.336,121.452
950,2019-06-24 15:15:00-05,2.033,-0.002,,,,,,,,,,,,,,,0.001,,,,,,-0.004,,,0.186,0.098,,,-4.945,,,,,,,,,,,,,,,,,,,,,,,-0.002,,,,,,-0.001,0.004,0.029,,,-0.001,,7.764,,,,,,0.247,,,,121.813,121.85
950,2019-06-24 15:00:00-05,2.024,-0.002,,,,,,,,,,,,,,,0.001,,,,,,-0.003,,,0.185,0.104,,,-0.09,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,-0.001,0.002,0.004,,,-0.001,,6.557,,,,,,3.839,,,,122.15,122.111
5587,2019-06-24 15:45:00-05,0.0,,,,,,,,,,,,,,,,0.068,,,,0.0,0.003,3.058,,,0.227,,,,2.101,,,,,,,,,0.109,,,,,,,,,,,,,,,,,,,,,0.002,,,,,,1.606,,,,,,,,,,120.433,121.104
5587,2019-06-24 15:30:00-05,0.0,,,,,,,,,,,,,,,,0.098,,,,0.0,0.004,4.618,,,0.268,,,,3.277,,,,,,,,,0.18,,,,,,,,,,,,,,,,,,,,,0.003,,,,,,2.005,,,,,,,,,,120.042,120.813
5587,2019-06-24 15:15:00-05,0.0,,,,,,,,,,,,,,,,0.001,,,,0.0,0.004,0.001,,,0.216,,,,-1.432,,,,,,,,,0.252,,,,,,,,,,,,,,,,,,,,,0.001,,,,,,2.056,,,,,,,,,,121.574,121.461
5587,2019-06-24 15:00:00-05,0.0,,,,,,,,,,,,,,,,0.056,,,,0.0,0.004,0.001,,,0.256,,,,-0.805,,,,,,,,,0.261,,,,,,,,,,,,,,,,,,,,,0.002,,,,,,1.551,,,,,,,,,,121.586,121.476
2318,2019-06-29 14:00:00-05,,,,,,0.001,,,,,,,,,,,0.0,,,,,,0.255,,,0.009,,,,1.466,0.215,0.004,0.041,,,,,,,,,,,,,,0.008,,,,,,,,,,,,,-0.002,,,,,,,,,,,,0.418,,0.0,,121.558,120.899
3996,2019-06-29 15:45:00-05,,,,,,,,,,,,,,,,,0.0,,,,0.0,,0.0,,,0.006,,,,0.544,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.368,,0.086,,,,,,,,,,0.001,0.0,,0.019,,120.439,120.188
3996,2019-06-29 15:30:00-05,,,,,,,,,,,,,,,,,0.0,,,,0.0,,0.0,,,0.006,,,,0.42,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.239,,0.089,,,,,,,,,,0.001,0.0,,0.019,,120.844,120.631
3996,2019-06-29 15:15:00-05,,,,,,,,,,,,,,,,,0.0,,,,0.0,,0.0,,,0.006,,,,0.594,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44,,0.065,,,,,,,,,,0.001,0.0,,0.019,,120.91,120.638
3996,2019-06-29 15:00:00-05,,,,,,,,,,,,,,,,,0.0,,,,0.0,,0.0,,,0.006,,,,0.543,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35,,0.103,,,,,,,,,,0.001,0.0,,0.019,,119.949,119.706
4550,2019-06-24 15:45:00-05,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.02,,,,0.105,0.003,,,,,0.002,,,0.005,0.0,,,,,,,0.006,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,119.766,119.86
4550,2019-06-24 15:30:00-05,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.02,,,,0.186,0.003,,,,,0.002,,,0.004,0.081,,,,,,,0.006,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,120.114,120.13
4550,2019-06-24 15:15:00-05,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.02,,,,0.108,0.003,,,,,0.002,,,0.004,0.0,,,,,,,0.009,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,119.887,119.974
4550,2019-06-24 15:00:00-05,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.02,,,,0.185,0.003,,,,,0.002,,,0.004,0.077,,,,,,,0.009,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,120.064,120.109
387,2019-06-24 15:45:00-05,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,-0.433,0.02,,,,,,,,0.002,0.001,,,,,,,,,,,,,0.003,,,,,,,,0.068,,,,,0.818,,,,0.104,,,,,,123.551,123.25
387,2019-06-24 15:30:00-05,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,-0.503,0.02,,,,,,,,0.002,0.001,,,,,,,,,,,,,0.003,,,,,,,,0.118,,,,,0.885,,,,0.055,,,,,,123.897,123.102
387,2019-06-24 15:15:00-05,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,-0.896,0.02,,,,,,,,0.002,0.001,,,,,,,,,,,,,0.003,,,,,,,,0.062,,,,,1.254,,,,0.085,,,,,,124.223,123.274
387,2019-06-24 15:00:00-05,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,-0.396,0.02,,,,,,,,0.001,0.001,,,,,,,,,,,,,0.003,,,,,,,,0.026,,,,,0.8,,,,0.148,,,,,,123.956,122.803
558,2019-06-24 15:45:00-05,2.241,,,,,,,,,,,,,,,,0.001,,,,,,0.001,,0.037,0.48,,,,3.532,,,,,,,0.39,,0.002,0.002,,,,,,,,,,,,,,,,,,,,0.004,,,,,,,,,,,,,,,,119.827,119.59
558,2019-06-24 15:30:00-05,1.556,,,,,,,,,,,,,,,,0.001,,,,,,0.001,,0.093,0.33,,,,2.501,,,,,,,0.121,,0.002,0.002,,,,,,,,,,,,,,,,,,,,0.004,,,,,,,,,,,,,,,,119.746,119.678
558,2019-06-24 15:15:00-05,0.08,,,,,,,,,,,,,,,,0.001,,,,,,0.001,,0.052,0.005,,,,0.916,,,,,,,0.302,,0.002,0.002,,,,,,,,,,,,,,,,,,,,0.005,,,,,,,,,,,,,,,,119.951,120.068
