dataid,local_15min,air1,air2,air3,airwindowunit1,aquarium1,bathroom1,bathroom2,bedroom1,bedroom2,bedroom3,bedroom4,bedroom5,battery1,car1,car2,circpump1,clotheswasher1,clotheswasher_dryg1,diningroom1,diningroom2,dishwasher1,disposal1,drye1,dryg1,freezer1,furnace1,furnace2,garage1,garage2,grid,heater1,heater2,heater3,housefan1,icemaker1,jacuzzi1,kitchen1,kitchen2,kitchenapp1,kitchenapp2,lights_plugs1,lights_plugs2,lights_plugs3,lights_plugs4,lights_plugs5,lights_plugs6,livingroom1,livingroom2,microwave1,office1,outsidelights_plugs1,outsidelights_plugs2,oven1,oven2,pool1,pool2,poollight1,poolpump1,pump1,range1,refrigerator1,refrigerator2,security1,sewerpump1,shed1,solar,solar2,sprinkler1,sumppump1,utilityroom1,venthood1,waterheater1,waterheater2,wellpump1,winecooler1,leg1v,leg2v
5679,2019-06-24 14:30:00-05,1.05,,,,,,,-0.001,,,,,,0.001,,,,,,,,,,,,0.068,,0.005,,-0.44,,,,,,,,,0.194,0.021,,,,,,,,,,,,,,,,,,,,,,,,,,2.102,,,,,,,,,,121.052,121.435
5679,2019-06-24 14:15:00-05,1.181,,,,,,,-0.001,,,,,,0.002,,,,,,,,,,,,0.084,,0.005,,-0.302,,,,,,,,,0.285,0.007,,,,,,,,,,,,,,,,,,,,,,,,,,2.193,,,,,,,,,,121.081,121.497
5679,2019-06-24 14:00:00-05,1.323,,,,,,,0.0,,,,,,0.003,,,,,,,,,,,,0.114,,0.005,,0.754,,,,,,,,,0.215,0.202,,,,,,,,,,,,,,,,,,,,,,,,,,1.434,,,,,,,,,,120.435,120.85
5058,2019-06-24 14:45:00-05,0.009,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002,,-0.926,,,,-0.001,,0.042,,,,,,,,,,,,,,0.03,,,-0.002,,,,,,,0.0,0.049,,,,,1.569,,,,,,,,,,121.71,121.583
5058,2019-06-24 14:30:00-05,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,-2.283,,,,-0.003,,0.043,,,,,,,,,,,,,,0.03,,,-0.004,,,,,,,0.0,-0.002,,,,,2.477,,,,,,,,,,122.022,121.98
5058,2019-06-24 14:15:00-05,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,,-1.839,,,,-0.002,,0.043,,,,,,,,,,,,,,0.03,,,-0.003,,,,,,,0.0,-0.001,,,,,2.039,,,,,,,,,,122.038,121.995
5058,2019-06-24 14:00:00-05,0.009,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002,,-0.985,,,,-0.001,,0.042,,,,,,,,,,,,,,0.03,,,-0.002,,,,,,,0.0,0.0,,,,,1.196,,,,,,,,,,121.78,121.738
2318,2019-06-24 14:45:00-05,,,,,,0.001,,,,,,,,,,,0.0,,,,,,0.0,,,0.011,,,,0.771,0.003,0.004,0.042,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.002,,-0.001,,121.714,121.472
2318,2019-06-24 14:30:00-05,,,,,,0.001,,,,,,,,,,,0.0,,,,,,0.0,,,0.009,,,,0.896,0.003,0.004,0.041,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.002,,-0.001,,122.109,121.732
2318,2019-06-24 14:15:00-05,,,,,,0.001,,,,,,,,,,,0.0,,,,,,0.0,,,0.029,,,,0.823,0.003,0.004,0.041,,,,,,,,,,,,,,0.061,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.002,,-0.001,,122.353,122.102
2318,2019-06-24 14:00:00-05,,,,,,0.001,,,,,,,,,,,0.0,,,,,,0.0,,,0.028,,,,0.89,0.003,0.004,0.041,,,,,,,,,,,,,,0.061,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.002,,-0.001,,122.54,122.147
5997,2019-06-24 14:45:00-05,,,,,,0.001,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,0.003,,-2.48,,,,,,,,,0.058,,0.011,,,,,,,,0.001,,,,,,,,,,,,,,,,,2.861,,,,0.255,,0.0,,,,122.459,123.05
5997,2019-06-24 14:30:00-05,,,,,,0.001,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,0.002,,-3.103,,,,,,,,,0.079,,0.011,,,,,,,,0.001,,,,,,,,,,,,,,,,,3.528,,,,0.281,,-0.001,,,,122.779,123.395
5997,2019-06-24 14:15:00-05,,,,,,0.001,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,0.003,,-2.155,,,,,,,,,0.002,,0.011,,,,,,,,0.001,,,,,,,,,,,,,,,,,2.56,,,,0.29,,0.0,,,,122.205,122.79
5997,2019-06-24 14:00:00-05,,,,,,0.001,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,0.003,,-1.667,,,,,,,,,0.002,,0.011,,,,,,,,0.002,,,,,,,,,,,,,,,,,2.241,,,,0.416,,0.0,,,,122.632,123.361
950,2019-06-24 14:45:00-05,2.012,-0.002,,,,,,,,,,,,,,,0.001,,,,,,-0.004,,,0.182,0.097,,,-5.5,,,,,,,,,,,,,,,,,,,,,,,-0.002,,,,,,-0.002,0.004,0.004,,,-0.001,,8.049,,,,,,-0.01,,,,121.614,121.654
950,2019-06-24 14:30:00-05,1.822,-0.002,,,,,,,,,,,,,,,0.0,,,,,,-0.007,,,0.169,0.097,,,-9.235,,,,,,,,,,,,,,,,,,,,,,,-0.005,,,,,,-0.004,0.005,0.004,,,0.0,,12.953,,,,,,1.25,,,,121.977,122.075
950,2019-06-24 14:15:00-05,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,,,-0.006,,,0.095,0.097,,,-8.714,,,,,,,,,,,,,,,,,,,,,,,-0.003,,,,,,-0.003,0.004,0.071,,,0.0,,11.245,,,,,,1.986,,,,121.442,121.56
950,2019-06-24 14:00:00-05,0.0,0.0,,,,,,,,,,,,,,,0.001,,,,,,-0.003,,,0.095,0.102,,,-6.376,,,,,,,,,,,,,,,,,,,,,,,-0.001,,,,,,-0.001,0.004,0.125,,,0.0,,7.037,,,,,,-0.008,,,,120.712,120.827
5982,2019-06-24 14:45:00-05,,,,,,,,0.01,,,,,,,,0.224,0.04,,,,0.0,,0.0,,,,,,,1.441,0.001,,,,,,,,0.001,-0.001,,,,,,,,,,,,,,,,,,,0.006,,0.009,,,,,,,,,,,,,0.157,,120.936,121.546
5982,2019-06-24 14:30:00-05,,,,,,,,0.009,,,,,,,,0.225,0.04,,,,0.0,,0.0,,,,,,,1.293,0.001,,,,,,,,0.001,-0.001,,,,,,,,,,,,,,,,,,,0.006,,0.01,,,,,,,,,,,,,0.0,,121.102,121.808
5982,2019-06-24 14:15:00-05,,,,,,,,0.009,,,,,,,,0.224,0.039,,,,0.0,,0.0,,,,,,,1.434,0.001,,,,,,,,0.001,-0.001,,,,,,,,,,,,,,,,,,,0.006,,0.009,,,,,,,,,,,,,0.0,,120.638,121.104
5982,2019-06-24 14:00:00-05,,,,,,,,0.009,,,,,,,,0.223,0.039,,,,0.0,,0.0,,,,,,,1.353,0.001,,,,,,,,0.001,-0.001,,,,,,,,,,,,,,,,,,,0.006,,0.01,,,,,,,,,,,,,0.0,,120.692,121.043
5587,2019-06-24 14:45:00-05,0.0,,,,,,,,,,,,,,,,0.048,,,,0.0,0.004,0.001,,,0.254,,,,-1.276,,,,,,,,,0.373,,,,,,,,,,,,,,,,,,,,,0.002,,,,,,2.23,,,,,,,,,,121.882,121.854
5587,2019-06-24 14:30:00-05,0.036,,,,,,,,,,,,,,,,0.049,,,,0.0,0.003,0.0,,,0.258,,,,-1.957,,,,,,,,,0.139,,,,,,,,,,,,,,,,,,,,,0.001,,,,,,2.702,,,,,,,,,,122.169,122.246
5587,2019-06-24 14:15:00-05,0.043,,,,,,,,,,,,,,,,0.066,,,,0.0,0.003,0.0,,,0.202,,,,-1.521,,,,,,,,,0.053,,,,,,,,,,,,,,,,,,,,,0.001,,,,,,2.065,,,,,,,,,,121.889,121.948
5587,2019-06-24 14:00:00-05,0.043,,,,,,,,,,,,,,,,0.0,,,,0.0,0.003,0.001,,,0.249,,,,-1.332,,,,,,,,,0.086,,,,,,,,,,,,,,,,,,,,,0.001,,,,,,1.894,,,,,,,,,,122.03,121.913
1222,2019-06-24 14:45:00-05,,,,,,,,,,,,,,0.001,,,,,,,,,0.0,,,,,0.011,,-2.682,0.025,,,,,,,,0.001,,,,,,,,,,,,,,,,,,,,,-0.001,,,,,,2.769,,,,,,0.002,,0.002,,125.224,125.087
1222,2019-06-24 14:30:00-05,,,,,,,,,,,,,,0.001,,,,,,,,,0.0,,,,,0.061,,-1.994,0.025,,,,,,,,0.056,,,,,,,,,,,,,,,,,,,,,-0.001,,,,,,2.184,,,,,,0.002,,0.001,,124.972,124.842
1222,2019-06-24 14:15:00-05,,,,,,,,,,,,,,0.001,,,,,,,,,0.0,,,,,0.079,,-1.705,0.025,,,,,,,,0.079,,,,,,,,,,,,,,,,,,,,,-0.001,,,,,,1.941,,,,,,0.002,,0.001,,124.67,124.525
1222,2019-06-24 14:00:00-05,,,,,,,,,,,,,,0.001,,,,,,,,,0.0,,,,,0.016,,-1.733,0.025,,,,,,,,0.001,,,,,,,,,,,,,,,,,,,,,-0.001,,,,,,1.833,,,,,,0.002,,0.001,,124.477,124.331
387,2019-06-24 14:45:00-05,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,-0.942,0.02,,,,,,,,0.002,0.001,,,,,,,,,,,,,0.003,,,,,,,,0.114,,,,,1.335,,,,0.055,,,,,,124.368,123.64
387,2019-06-24 14:30:00-05,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,-1.192,0.02,,,,,,,,0.002,0.001,,,,,,,,,,,,,0.003,,,,,,,,0.011,,,,,1.496,,,,0.056,,,,,,124.414,124.073
387,2019-06-24 14:15:00-05,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,-0.999,0.02,,,,,,,,0.002,0.001,,,,,,,,,,,,,0.003,,,,,,,,0.002,,,,,1.372,,,,0.145,,,,,,124.362,124.085
387,2019-06-24 14:00:00-05,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,-0.749,0.02,,,,,,,,0.002,0.001,,,,,,,,,,,,,0.003,,,,,,,,0.002,,,,,1.079,,,,0.1,,,,,,124.026,123.674
3000,2019-06-24 14:45:00-05,0.006,,,,,,,0.004,,,,,,0.002,,,0.001,,,,0.0,,0.0,,0.017,,,,,-1.892,0.018,,,,,,,,0.003,0.011,,,,,,,0.014,,,,,,,,,,,,0.095,,,,,,,1.148,1.028,,,,,,,,,122.995,123.335
3000,2019-06-24 14:30:00-05,0.006,,,,,,,0.004,,,,,,0.002,,,0.001,,,,0.0,,0.0,,0.074,,,,,-2.154,0.018,,,,,,,,0.003,0.111,,,,,,,0.014,,,,,,,,,,,,0.095,,,,,,,1.345,1.252,,,,,,,,,123.451,123.52
3000,2019-06-24 14:15:00-05,0.006,,,,,,,0.004,,,,,,0.002,,,0.001,,,,0.0,,0.0,,0.103,,,,,-1.869,0.018,,,,,,,,0.003,0.093,,,,,,,0.014,,,,,,,,,,,,0.065,,,,,,,1.204,1.086,,,,,,,,,123.543,123.497
3000,2019-06-24 14:00:00-05,0.006,,,,,,,0.004,,,,,,0.002,,,0.001,,,,0.0,,0.0,,0.017,,,,,-1.617,0.022,,,,,,,,0.003,0.004,,,,,,,0.014,,,,,,,,,,,,0.014,,,,,,,0.968,0.855,,,,,,,,,123.164,123.076
4283,2019-06-24 14:45:00-05,,,,0.001,,,,,,,,,,,,0.001,0.0,,,,0.001,,0.0,,,,,,,0.754,,,,,,,,,0.005,0.008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,123.032,121.768
4283,2019-06-24 14:30:00-05,,,,0.001,,,,,,,,,,,,0.001,0.0,,,,0.001,,0.002,,,,,,,0.84,,,,,,,,,0.005,0.092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,123.045,121.881
4283,2019-06-24 14:15:00-05,,,,0.001,,,,,,,,,,,,0.001,0.0,,,,0.001,,0.0,,,,,,,0.862,,,,,,,,,0.005,0.118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,122.807,121.714
4283,2019-06-24 14:00:00-05,,,,0.0,,,,,,,,,,,,0.001,0.0,,,,0.001,,0.0,,,,,,,0.84,,,,,,,,,0.005,0.096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,122.904,121.792
3488,2019-06-24 14:45:00-05,0.0,,,,,0.0,,,,,,,,,,,0.0,,,,,,0.0,,,0.227,,,,0.077,,,,,,,,,0.0,0.005,,,,,,,,,,,,,,,,,,,,,0.068,,,,,0.991,,,,,0.137,0.473,,,,120.623,120.912
3488,2019-06-24 14:30:00-05,0.0,,,,,0.0,,,,,,,,,,,0.0,,,,,,-0.001,,,0.231,,,,-0.439,,,,,,,,,0.001,0.005,,,,,,,,,,,,,,,,,,,,,0.084,,,,,1.413,,,,,0.143,0.443,,,,121.365,121.219
3488,2019-06-24 14:15:00-05,0.0,,,,,0.0,,,,,,,,,,,0.0,,,,,,0.0,,,0.231,,,,-0.289,,,,,,,,,0.0,0.004,,,,,,,,,,,,,,,,,,,,,0.088,,,,,1.071,,,,,0.05,0.209,,,,121.396,120.924
3488,2019-06-24 14:00:00-05,0.0,,,,,0.0,,,,,,,,,,,0.0,,,,,,0.0,,,0.235,,,,-0.352,,,,,,,,,0.0,0.004,,,,,,,,,,,,,,,,,,,,,0.086,,,,,0.871,,,,,0.005,0.0,,,,122.219,121.607
3517,2019-06-24 14:45:00-05,0.0,,,,,,,,,,,,,,,,,0.008,,,,,,,0.048,0.007,,0.016,,-0.971,,,,,,,,,0.073,,,,,,,,,,,,,,,,,,,,,,,,,,,1.284,,,,,,,,,,121.381,120.859
3517,2019-06-24 14:30:00-05,0.0,,,,,,,,,,,,,,,,,0.008,,,,,,,0.08,0.007,,0.016,,-1.103,,,,,,,,,0.154,,,,,,,,,,,,,,,,,,,,,,,,,,,1.565,,,,,,,,,,121.466,121.075
3517,2019-06-24 14:15:00-05,0.0,,,,,,,,,,,,,,,,,0.008,,,,,,,0.014,0.007,,0.016,,-1.395,,,,,,,,,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,1.613,,,,,,,,,,121.281,120.972
3517,2019-06-24 14:00:00-05,0.0,,,,,,,,,,,,,,,,,0.008,,,,,,,0.04,0.006,,0.016,,-0.797,,,,,,,,,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,1.057,,,,,,,,,,121.159,120.798
9053,2019-06-24 14:45:00-05,,,,,,,,,,,,,,0.084,,0.0,0.0,,,,0.0,,0.0,,,,,,,0.356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003,0.031,,,,,,,,,,,0.001,,0.0,,119.477,119.336
9053,2019-06-24 14:30:00-05,,,,,,,,,,,,,,0.09,,0.0,0.0,,,,0.0,,0.0,,,,,,,0.674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003,0.003,,,,,,,,,,,0.349,,-0.001,,119.361,119.199
9053,2019-06-24 14:15:00-05,,,,,,,,,,,,,,0.005,,0.0,0.0,,,,0.0,,0.0,,,,,,,0.727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003,0.003,,,,,,,,,,,0.49,,-0.001,,119.196,119.102
9053,2019-06-24 14:00:00-05,,,,,,,,,,,,,,0.004,,0.0,0.0,,,,0.0,,0.0,,,,,,,0.722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003,0.007,,,,,,,,,,,0.484,,-0.001,,118.857,118.767
3996,2019-06-24 14:45:00-05,,,,,,,,,,,,,,,,,0.0,,,,0.0,,0.0,,,0.006,,,,0.358,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.252,,0.015,,,,,,,,,,0.001,0.0,,0.019,,120.453,120.3
3996,2019-06-24 14:30:00-05,,,,,,,,,,,,,,,,,0.0,,,,0.0,,0.0,,,0.006,,,,0.697,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.538,,0.073,,,,,,,,,,0.001,0.0,,0.019,,120.564,120.379
3996,2019-06-24 14:15:00-05,,,,,,,,,,,,,,,,,0.0,,,,0.0,,0.0,,,0.006,,,,0.37,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.268,,0.012,,,,,,,,,,0.001,0.0,,0.019,,120.85,120.698
3996,2019-06-24 14:00:00-05,,,,,,,,,,,,,,,,,0.0,,,,0.0,,0.0,,,0.006,,,,0.697,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.537,,0.073,,,,,,,,,,0.001,0.0,,0.019,,120.891,120.732
27,2019-06-29 14:45:00-05,0.004,0.021,,,,,,,,,,,,0.003,,,,0.001,,,,,,,0.124,,,0.001,,-4.386,,,,,,,,,0.162,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,4.895,,,,,,0.001,,0.0,,115.62,115.548
27,2019-06-29 14:30:00-05,0.008,0.007,,,,,,,,,,,,0.003,,,,0.001,,,,,,,0.124,,,0.076,,-3.609,,,,,,,,,0.067,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,4.163,,,,,,0.001,,0.057,,115.476,115.432
27,2019-06-29 14:15:00-05,0.052,0.046,,,,,,,,,,,,0.003,,,,0.001,,,,,,,0.125,,,0.128,,-7.87,,,,,,,,,0.017,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,8.433,,,,,,0.001,,0.06,,116.891,116.915
27,2019-06-29 14:00:00-05,0.003,0.021,,,,,,,,,,,,0.003,,,,0.001,,,,,,,0.125,,,0.128,,-2.431,,,,,,,,,0.017,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,3.083,,,,,,0.001,,0.0,,115.703,115.651
5679,2019-06-29 14:45:00-05,1.92,,,,,,,0.005,,,,,,6.674,,,,,,,,,,,,0.35,,0.004,,7.671,,,,,,,,,0.185,0.013,,,,,,,,,,,,,,,,,,,,,,,,,,1.734,,,,,,,,,,117.292,116.414
5679,2019-06-29 14:30:00-05,1.932,,,,,,,0.005,,,,,,6.684,,,,,,,,,,,,0.344,,0.004,,7.629,,,,,,,,,0.188,0.013,,,,,,,,,,,,,,,,,,,,,,,,,,1.771,,,,,,,,,,117.076,116.523
5679,2019-06-29 14:15:00-05,1.953,,,,,,,0.004,,,,,,6.622,,,,,,,,,,,,0.34,,0.004,,6.991,,,,,,,,,0.135,0.012,,,,,,,,,,,,,,,,,,,,,,,,,,2.254,,,,,,,,,,116.221,115.757
5679,2019-06-29 14:00:00-05,1.975,,,,,,,0.004,,,,,,6.765,,,,,,,,,,,,0.346,,0.004,,6.537,,,,,,,,,0.2,0.012,,,,,,,,,,,,,,,,,,,,,,,,,,2.934,,,,,,,,,,117.791,117.956
5058,2019-06-29 14:45:00-05,0.013,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,,-1.926,,,,-0.002,,0.043,,,,,,,,,,,,,,0.03,,,-0.003,,,,,,,0.0,0.06,,,,,2.146,,,,,,,,,,120.749,120.784
5058,2019-06-29 14:30:00-05,0.151,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,-2.651,,,,-0.003,,0.043,,,,,,,,,,,,,,0.03,,,-0.004,,,,,,,0.0,-0.002,,,,,2.938,,,,,,,,,,120.879,120.871
5058,2019-06-29 14:15:00-05,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003,,-0.569,,,,-0.001,,0.041,,,,,,,,,,,,,,0.03,,,-0.001,,,,,,,0.0,0.0,,,,,0.734,,,,,,,,,,120.713,120.712
5058,2019-06-29 14:00:00-05,0.151,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,,-1.856,,,,-0.002,,0.042,,,,,,,,,,,,,,0.03,,,-0.003,,,,,,,0.0,0.035,,,,,2.183,,,,,,,,,,120.859,120.876
1222,2019-06-29 14:45:00-05,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,0.094,,-3.437,0.016,,,,,,,,0.001,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,3.596,,,,,,0.002,,0.002,,124.84,124.71
1222,2019-06-29 14:30:00-05,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,0.044,,-3.752,0.015,,,,,,,,0.002,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,3.863,,,,,,0.002,,0.003,,124.907,124.852
1222,2019-06-29 14:15:00-05,,,,,,,,,,,,,,0.001,,,,,,,,,0.0,,,,,0.058,,-3.001,0.015,,,,,,,,0.052,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,3.179,,,,,,0.002,,0.002,,124.465,124.421
1222,2019-06-29 14:00:00-05,,,,,,,,,,,,,,0.001,,,,,,,,,0.0,,,,,0.077,,-1.161,0.016,,,,,,,,0.065,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,1.436,,,,,,0.002,,0.001,,124.05,123.978
142,2019-06-24 14:45:00-05,,,,,,,,,,,,,,,,,,0.001,,,0.001,,,,0.045,,,,,-1.809,0.009,,,,,,,,0.004,0.001,0.253,0.017,,,,,,,,,,,0.0,,,,,,,,0.032,,,,,2.229,,,,,,,,,,123.109,123.006
142,2019-06-24 14:30:00-05,,,,,,,,,,,,,,,,,,0.001,,,0.001,,,,0.002,,,,,-2.072,0.009,,,,,,,,0.004,0.001,0.259,0.018,,,,,,,,,,,0.001,,,,,,,,0.112,,,,,2.536,,,,,,,,,,123.362,123.259
